action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
,,,,,,,,,,,,,14030,,,,108269,,,,instructions,"[{""page_index"":0,""viewing_time"":2871},{""page_index"":1,""viewing_time"":1436},{""page_index"":2,""viewing_time"":6072},{""page_index"":3,""viewing_time"":2206},{""page_index"":4,""viewing_time"":1444}]",A38DXFI1TZA295,3ZPBJO59KP1F4201LQD7UGLJRT7HDU,41
,,,,,,,,,,,,,69317,,,,69328,,,,instructions,"[{""page_index"":0,""viewing_time"":12653},{""page_index"":1,""viewing_time"":8777},{""page_index"":2,""viewing_time"":19243},{""page_index"":3,""viewing_time"":24926},{""page_index"":4,""viewing_time"":3717}]",A3ACUGH5N9VQO2,32KTQ2V7RDFPTQOV07OI0PAPHUR9ME,42
,,,,,,,,,,,,,59520,,,,59541,,,,instructions,"[{""page_index"":0,""viewing_time"":14592},{""page_index"":1,""viewing_time"":10162},{""page_index"":2,""viewing_time"":19798},{""page_index"":3,""viewing_time"":12640},{""page_index"":4,""viewing_time"":2327}]",A3AIX82WZQZB5A,3T111IHZ5EQGQ61N5FKZMO4ZNHQ9R2,43
,,,,,,,,,,,,,58491,,,,178996,,,,instructions,"[{""page_index"":0,""viewing_time"":33875},{""page_index"":1,""viewing_time"":5792},{""page_index"":2,""viewing_time"":16080},{""page_index"":3,""viewing_time"":1507},{""page_index"":4,""viewing_time"":1237}]",A3AIX82WZQZB5A,3T111IHZ5EQGQ61N5FKZMO4ZNHQ9R2,43
,,,,,,,,,,,,,37723,,,,37733,,,,instructions,"[{""page_index"":0,""viewing_time"":12955},{""page_index"":1,""viewing_time"":6071},{""page_index"":2,""viewing_time"":6600},{""page_index"":3,""viewing_time"":10200},{""page_index"":4,""viewing_time"":1896}]",A3EG4C9T4F5DUR,39N5ACM9HENVETL8SNGAHT4KMZ29PA,44
,,,,,,,,,,,,,26163,,,,78292,,,,instructions,"[{""page_index"":0,""viewing_time"":3996},{""page_index"":1,""viewing_time"":3679},{""page_index"":2,""viewing_time"":16032},{""page_index"":3,""viewing_time"":1304},{""page_index"":4,""viewing_time"":1152}]",A3EG4C9T4F5DUR,39N5ACM9HENVETL8SNGAHT4KMZ29PA,44
,,,,,,,,,,,,,53430,,,,53484,,,,instructions,"[{""page_index"":0,""viewing_time"":6874},{""page_index"":1,""viewing_time"":27208},{""page_index"":2,""viewing_time"":11167},{""page_index"":3,""viewing_time"":4689},{""page_index"":4,""viewing_time"":3490}]",A3F7FH2NDBBN1M,386CSBG1OZMTWMKPUTSNXO3S1V9Q62,45
,,,,,,,,,,,,,35856,,,,105846,,,,instructions,"[{""page_index"":0,""viewing_time"":2229},{""page_index"":1,""viewing_time"":2245},{""page_index"":2,""viewing_time"":27131},{""page_index"":3,""viewing_time"":1405},{""page_index"":4,""viewing_time"":2844}]",A3F7FH2NDBBN1M,386CSBG1OZMTWMKPUTSNXO3S1V9Q62,45
,,,,,,,,,,,,,2206,,,,121599,,,,instructions,"[{""page_index"":0,""viewing_time"":670},{""page_index"":1,""viewing_time"":890},{""page_index"":2,""viewing_time"":159},{""page_index"":3,""viewing_time"":154},{""page_index"":4,""viewing_time"":332}]",A3F7FH2NDBBN1M,386CSBG1OZMTWMKPUTSNXO3S1V9Q62,45
,,,,,,,,,,,,,59518,,,,59525,,,,instructions,"[{""page_index"":0,""viewing_time"":15523},{""page_index"":1,""viewing_time"":13675},{""page_index"":2,""viewing_time"":9461},{""page_index"":3,""viewing_time"":17442},{""page_index"":4,""viewing_time"":3417}]",A3FABY0Q6234WK,3EQHHY4HQSS60TQXMED6B4LQZDPG5H,46
